date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:29:55	120/120	---MCZ	200	added ('OK')	text/plain	date:Sat,%2020%20Jul%202024%2007:59:55%20GMT	https://wavio.peerduck.com/robots.txt		(from )
13:29:56	285783/285783	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20Jul%202024%2007:59:55%20GMT	https://wavio.peerduck.com/	C:/Users/akp33/Desktop/razal_project/wavio.peerduck.com/index.html	(from )
13:29:57	2894/2894	---MCZ	200	added ('OK')	text/css	etag:W/%22662682a1-b4e%22	https://wavio.peerduck.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.3	C:/Users/akp33/Desktop/razal_project/wavio.peerduck.com/wp-content/plugins/contact-form-7/includes/css/styles7404.css	(from https://wavio.peerduck.com/)
13:29:57	39070/39070	---MC-	200	added ('OK')	application/rss+xml	etag:%2296de38f7bd396c85692ce70a7d4b4ac4%22	https://wavio.peerduck.com/feed/	C:/Users/akp33/Desktop/razal_project/wavio.peerduck.com/feed/index.html	(from https://wavio.peerduck.com/)
13:29:57	8571/8571	---MC-	200	added ('OK')	application/rss+xml	etag:%22a0d7614473c60c1ef567102c6bbea3aa%22	https://wavio.peerduck.com/comments/feed/	C:/Users/akp33/Desktop/razal_project/wavio.peerduck.com/comments/feed/index.html	(from https://wavio.peerduck.com/)
13:29:57	17688/17688	---MCZ	200	added ('OK')	text/css	etag:W/%22658da43f-4518%22	https://wavio.peerduck.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=8.4.0	C:/Users/akp33/Desktop/razal_project/wavio.peerduck.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout2678.css	(from https://wavio.peerduck.com/)
13:29:58	7043/7043	---MCZ	200	added ('OK')	text/css	etag:W/%22658da43f-1b83%22	https://wavio.peerduck.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=8.4.0	C:/Users/akp33/Desktop/razal_project/wavio.peerduck.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen2678.css	(from https://wavio.peerduck.com/)
13:29:58	75125/75125	---MCZ	200	added ('OK')	text/css	etag:W/%22658da43f-12575%22	https://wavio.peerduck.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=8.4.0	C:/Users/akp33/Desktop/razal_project/wavio.peerduck.com/wp-content/plugins/woocommerce/assets/css/woocommerce2678.css	(from https://wavio.peerduck.com/)
13:29:58	98/98	---MCZ	200	added ('OK')	text/css	etag:W/%2260d0e055-62%22	https://wavio.peerduck.com/wp-content/plugins/unlimited-elementor-inner-sections-by-taspristudio/public/css/euis-public.css?ver=1.0.0	C:/Users/akp33/Desktop/razal_project/wavio.peerduck.com/wp-content/plugins/unlimited-elementor-inner-sections-by-taspristudio/public/css/euis-public8a54.css	(from https://wavio.peerduck.com/)
13:29:59	212901/212901	---MCZ	200	added ('OK')	text/css	etag:W/%22665b33e8-33fa5%22	https://wavio.peerduck.com/wp-content/themes/wavio/assets/css/bootstrap.css?ver=1.31	C:/Users/akp33/Desktop/razal_project/wavio.peerduck.com/wp-content/themes/wavio/assets/css/bootstrapc43a.css	(from https://wavio.peerduck.com/)
13:29:59	143670/143670	---MCZ	200	added ('OK')	text/css	etag:W/%22665b33e8-23136%22	https://wavio.peerduck.com/wp-content/themes/wavio/style.css?ver=1.31	C:/Users/akp33/Desktop/razal_project/wavio.peerduck.com/wp-content/themes/wavio/stylec43a.css	(from https://wavio.peerduck.com/)
13:29:59	19778/19778	---MCZ	200	added ('OK')	text/css	etag:W/%22662682ae-4d42%22	https://wavio.peerduck.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.29.0	C:/Users/akp33/Desktop/razal_project/wavio.peerduck.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mind54b.css	(from https://wavio.peerduck.com/)
13:30:00	173746/173746	---MCZ	200	added ('OK')	text/css	etag:W/%22662682ae-2a6b2%22	https://wavio.peerduck.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.21.1	C:/Users/akp33/Desktop/razal_project/wavio.peerduck.com/wp-content/plugins/elementor/assets/css/frontend.min1f75.css	(from https://wavio.peerduck.com/)
13:30:00	13243/13243	---M--	200	added ('OK')	image/png	etag:%22616ee833-33bb%22	https://wavio.peerduck.com/wp-content/uploads/2020/11/Vector-3.png	C:/Users/akp33/Desktop/razal_project/wavio.peerduck.com/wp-content/uploads/2020/11/Vector-3.png	(from https://wavio.peerduck.com/)
13:30:00	3835/3835	---M--	200	added ('OK')	image/png	etag:%22616ee93a-efb%22	https://wavio.peerduck.com/wp-content/uploads/2020/12/drop-filled-1.png	C:/Users/akp33/Desktop/razal_project/wavio.peerduck.com/wp-content/uploads/2020/12/drop-filled-1.png	(from https://wavio.peerduck.com/)
13:30:01	23692/23692	---M--	200	added ('OK')	image/png	etag:%22616ee8df-5c8c%22	https://wavio.peerduck.com/wp-content/uploads/2020/12/resourse-2-2.png	C:/Users/akp33/Desktop/razal_project/wavio.peerduck.com/wp-content/uploads/2020/12/resourse-2-2.png	(from https://wavio.peerduck.com/)
13:30:01	35136/35136	---M--	200	added ('OK')	image/png	etag:%22616ee8f8-8940%22	https://wavio.peerduck.com/wp-content/uploads/2020/12/cut-top.png	C:/Users/akp33/Desktop/razal_project/wavio.peerduck.com/wp-content/uploads/2020/12/cut-top.png	(from https://wavio.peerduck.com/)
13:30:01	2854/2854	---M--	200	added ('OK')	image/png	etag:%22616ee976-b26%22	https://wavio.peerduck.com/wp-content/uploads/2020/12/origami-1-1.png	C:/Users/akp33/Desktop/razal_project/wavio.peerduck.com/wp-content/uploads/2020/12/origami-1-1.png	(from https://wavio.peerduck.com/)
